Conn.Dens.,Porosity,SSA,Ech,Tortuosity,k_m2_predetto
310.913,0.137,5.065,-25.849,2.034,5.8412467722482505e-12
310.913,0.147,5.253,-31.002000000000002,2.665,1.696730140285069e-12
310.913,0.131,4.697,-20.047000000000004,2.109,7.060955635918977e-12
350.137,0.11499999999999999,5.583,-50.61300000000002,4.183,9.19311843667266e-13
350.137,0.13899999999999998,7.447,-136.73699999999997,2.595,1.4195080659613453e-12
350.137,0.11499999999999999,5.311,-32.90700000000002,4.101,1.0840296819484133e-12
368.141,0.134,6.990000000000001,-115.21799999999998,2.774,1.3006308020464115e-12
368.141,0.13799999999999998,7.132000000000001,-110.41100000000002,2.779,2.2200132229115004e-12
368.141,0.11599999999999999,5.29,-39.748000000000005,3.868,1.122119920676793e-12
10.572999999999999,0.02,0.791,-3.947999999999983,3.1,8.263561630788922e-13
10.572999999999999,0.02,0.806,-2.017000000000018,2.9,8.263561630788922e-13
458.436,0.273,7.721,-102.42400000000002,1.7169999999999999,5.443227304715199e-11
458.436,0.25,6.870000000000001,-76.478,1.353,3.658494357202435e-11
458.436,0.265,7.559999999999999,-95.05000000000003,1.573,5.408257988865853e-11
607.796,0.25,7.353,-152.126,1.34,2.8032193098864173e-11
607.796,0.281,8.363,-258.282,1.372,1.2018098364601963e-10
607.796,0.297,9.123,-362.849,1.6750000000000003,8.313291549300709e-11
303.129,0.075,4.747,-130.705,2.621,5.71031009238401e-13
303.129,0.079,5.065,-156.334,3.238,1.3395976747089896e-13
288.192,0.075,4.747,-130.705,3.0175,4.340749507649114e-14
288.192,0.079,5.065,-156.334,3.7225000000000006,1.931504057046479e-13
207.81,0.062,4.227,-132.907,3.414,2.797208487900493e-13
207.81,0.066,4.532,-162.17800000000003,4.207,6.268137552711914e-13
397.271,0.15100000000000002,7.652,-124.943,3.3132999999999995,1.0498190648664704e-12
397.271,0.15100000000000002,7.653,-132.984,3.39,1.316771718707083e-12
397.271,0.148,7.51,-121.66500000000003,3.8,1.2104462622248914e-12
307.044,0.136,10.267,-202.05599999999998,3.087,4.395500277630789e-13
307.044,0.137,10.3,-202.98900000000003,2.795,4.395500277630789e-13
307.044,0.124,9.292,-160.839,3.585,6.060772257951881e-13
307.044,0.136,10.267,-202.05599999999998,3.087,4.395500277630789e-13
307.044,0.137,10.3,-202.98900000000003,2.795,4.395500277630789e-13
307.044,0.124,9.292,-160.839,3.585,6.060772257951881e-13
286.157,0.09799999999999999,8.08,-132.73000000000002,3.34,1.9345289738338138e-13
286.157,0.108,8.765,-160.656,3.6089999999999995,3.913416451070069e-13
286.157,0.10299999999999998,8.463,-161.984,4.349,6.087967021628106e-13
116.198,0.10399999999999998,6.047,-71.46700000000001,4.007,6.393045606249363e-13
116.198,0.09799999999999999,5.923000000000001,-70.632,2.818,1.241932916209707e-13
116.198,0.09600000000000002,5.808,-68.41299999999998,3.6460000000000004,2.739361561750497e-13
95.679,0.092,5.414,-53.37000000000001,4.22,5.768099886677544e-13
95.679,0.093,5.443,-53.16800000000002,4.226,5.768099886677544e-13
95.679,0.092,5.425,-53.456000000000024,4.22,5.768099886677544e-13
68.701,0.077,4.215,-43.859999999999985,4.278,6.633804778272336e-13
68.701,0.076,4.24,-44.72500000000001,4.034,6.185385437391459e-13
68.701,0.073,4.035,-39.27799999999999,4.459,6.633804778272336e-13
17.118,0.026,1.209,-13.63099999999999,2.821,8.263561630788922e-13
28.32,0.041,2.34,-18.73999999999999,3.604,9.169084354733e-13
28.32,0.042,2.4339999999999997,-27.46299999999998,3.6,3.605066606925548e-13
