Conn.Dens.,Porosity,SSA,Ech,Tortuosity,k_m2_predetto
310.913,0.137,5.065,-25.849,2.034,4.5666298942696504e-12
310.913,0.147,5.253,-31.002000000000002,2.665,1.6769143551796704e-12
310.913,0.131,4.697,-20.047000000000004,2.109,4.523298145587392e-12
350.137,0.11499999999999999,5.583,-50.61300000000002,4.183,5.371332044286169e-13
350.137,0.13899999999999998,7.447,-136.73699999999997,2.595,-2.9170737038727537e-12
350.137,0.11499999999999999,5.311,-32.90700000000002,4.101,1.3982639844443803e-12
368.141,0.134,6.990000000000001,-115.21799999999998,2.774,1.7170876336810993e-12
368.141,0.13799999999999998,7.132000000000001,-110.41100000000002,2.779,1.5671795398050435e-12
368.141,0.11599999999999999,5.29,-39.748000000000005,3.868,2.613915380528391e-12
10.572999999999999,0.02,0.791,-3.947999999999983,3.1,1.6115474023486986e-12
10.572999999999999,0.02,0.806,-2.017000000000018,2.9,1.6115474023486986e-12
458.436,0.273,7.721,-102.42400000000002,1.7169999999999999,4.997545943551586e-11
458.436,0.25,6.870000000000001,-76.478,1.353,3.7659712478911335e-11
458.436,0.265,7.559999999999999,-95.05000000000003,1.573,5.298726808628648e-11
607.796,0.25,7.353,-152.126,1.34,2.5819265217357057e-11
607.796,0.281,8.363,-258.282,1.372,1.1842833850467182e-10
607.796,0.297,9.123,-362.849,1.6750000000000003,8.424321476286031e-11
303.129,0.075,4.747,-130.705,2.621,1.233265954338151e-12
303.129,0.079,5.065,-156.334,3.238,5.940094419076819e-13
288.192,0.075,4.747,-130.705,3.0175,7.396762633426818e-13
288.192,0.079,5.065,-156.334,3.7225000000000006,5.940094419076819e-13
207.81,0.062,4.227,-132.907,3.414,5.940094419076819e-13
207.81,0.066,4.532,-162.17800000000003,4.207,5.940094419076819e-13
397.271,0.15100000000000002,7.652,-124.943,3.3132999999999995,2.703028544460977e-12
397.271,0.15100000000000002,7.653,-132.984,3.39,2.6876852622350485e-12
397.271,0.148,7.51,-121.66500000000003,3.8,2.8776913188533687e-12
307.044,0.136,10.267,-202.05599999999998,3.087,1.3612169374414185e-13
307.044,0.137,10.3,-202.98900000000003,2.795,1.8446949655961387e-13
307.044,0.124,9.292,-160.839,3.585,5.453510383757848e-13
307.044,0.136,10.267,-202.05599999999998,3.087,1.3612169374414185e-13
307.044,0.137,10.3,-202.98900000000003,2.795,1.8446949655961387e-13
307.044,0.124,9.292,-160.839,3.585,5.453510383757848e-13
286.157,0.09799999999999999,8.08,-132.73000000000002,3.34,-5.105182818007258e-13
286.157,0.108,8.765,-160.656,3.6089999999999995,1.678656736393615e-13
286.157,0.10299999999999998,8.463,-161.984,4.349,-5.1250737871508943e-14
116.198,0.10399999999999998,6.047,-71.46700000000001,4.007,5.387952499948505e-13
116.198,0.09799999999999999,5.923000000000001,-70.632,2.818,5.438112426959607e-13
116.198,0.09600000000000002,5.808,-68.41299999999998,3.6460000000000004,5.387952499948505e-13
95.679,0.092,5.414,-53.37000000000001,4.22,1.0239224229740222e-12
95.679,0.093,5.443,-53.16800000000002,4.226,7.275998789606541e-13
95.679,0.092,5.425,-53.456000000000024,4.22,7.275998789606541e-13
68.701,0.077,4.215,-43.859999999999985,4.278,1.0239224229740222e-12
68.701,0.076,4.24,-44.72500000000001,4.034,1.0239224229740222e-12
68.701,0.073,4.035,-39.27799999999999,4.459,1.1944064628069484e-12
17.118,0.026,1.209,-13.63099999999999,2.821,1.6165634564819126e-12
28.32,0.041,2.34,-18.73999999999999,3.604,1.4166540532865689e-12
28.32,0.042,2.4339999999999997,-27.46299999999998,3.6,1.4166540532865689e-12
28.32,0.043000000000000003,2.511,-28.011000000000017,3.6,1.4166540532865689e-12
518.541,0.237048,6.7572,-127.0,1.328,3.748956619278468e-11
518.541,0.21896,6.7572,-167.0,2.408,9.137980960285288e-12
518.541,0.237286,7.3203000000000005,-220.0,2.428,1.311648814398654e-11
553.612,0.29481599999999997,6.118199999999999,-127.0,1.59,3.7317395104519307e-11
