Conn.Dens.,Porosity,SSA,Ech,Tortuosity,k_m2_predetto
28.32,0.043,2.511,-28.010999999999992,3.6,2.501118907913207e-13
518.541,0.23704799999999998,6.7572,-127.0,1.328,1.8177196424875598e-11
518.541,0.21896,6.7572,-167.0,2.408,1.9644754926313033e-11
518.541,0.237286,7.3203000000000005,-220.0,2.428,1.9644754926313033e-11
553.6119999999999,0.29481599999999997,6.118199999999998,-127.0,1.59,7.032044957248461e-11
553.6119999999999,0.27232,6.118199999999998,-200.0,1.9,3.618545757382844e-11
553.6119999999999,0.295112,6.62805,-249.99999999999997,1.87,5.407339043354049e-11
371.124,0.23406,5.357999999999999,-127.0,1.975,4.638882433082183e-12
371.124,0.2162,5.357999999999999,-180.0,2.473,6.743359473757942e-12
371.124,0.23429499999999998,5.804500000000001,-220.0,1.817,6.5144439716338e-12
300.0,0.129,1.3217340000000002,-216.625,3.34,2.5209566700259993e-12
300.0,0.125,1.22475,-192.679,4.349,2.6100270683479297e-12
28.6085,0.138049,1.3858463012,-34.2529375,2.46,3.940047586219998e-12
32.1085625,0.139097,1.4323791769,-39.44574999999999,3.5,5.914759983870846e-13
36.021875,0.162102,1.6627936853999996,-42.6638125,2.7,9.834922511463523e-13
31.379375,0.19845400000000002,2.087537626,-35.228125000000006,3.0,5.330960579064597e-13
94.4375,0.11591166,10.364797,-50.283006250000014,3.0,2.545315477018122e-13
137.9375,0.12499896000000002,11.831036000000001,-83.17359999999998,3.3,2.141836379029354e-13
29.653625,0.126526,2.4756203686,-198.24,4.2,2.554103284934668e-12
29.653625,0.132549,2.6543732544,-201.380625,4.5,2.515641247504082e-12
66.040125,0.13855,2.88837956,-204.76375,4.3,2.8524524442918595e-12
66.040125,0.13503,2.752897119,-194.68,4.45,2.515641247504082e-12
184.6875,0.06304018,10.489847,-196.405,2.9,1.6982503941786734e-12
189.875,0.067163122,11.12419,-195.480625,2.7,2.14834795927557e-12
52.9375,0.016692901,3.5833465,-46.95460374999998,3.6,2.501118907913207e-13
52.9375,0.016692901,3.5833465,-46.95460374999998,3.7,2.501118907913207e-13
80.875,0.022484421,5.2339588,-62.7280375,4.0,3.9471466766932954e-13
80.875,0.022484421,5.2339588,-62.7280375,3.8,2.283590088960345e-13
92.8125,0.027158844,5.6986547,-196.233125,3.1,2.0999736854253576e-12
152.9375,0.042695645,8.5172979,-5.953271812500002,3.2,4.564759183727886e-13
87.875,0.02663955,4.996205299999999,-48.90539000000001,3.5,2.501118907913207e-13
154.0,0.042870989,7.9304615,-80.54136875,3.2,4.56750791395192e-14
