Conn.Dens.,Porosity,SSA,Ech,Tortuosity,k_m2_predetto
310.913,0.137,5.065,-25.849,2.034,5.466165445384857e-12
310.913,0.147,5.253,-31.002000000000002,2.665,2.1147697086400834e-12
310.913,0.131,4.697,-20.047000000000004,2.109,7.907682676303156e-12
350.137,0.11499999999999999,5.583,-50.61300000000002,4.183,1.1539064883779188e-12
350.137,0.13899999999999998,7.447,-136.73699999999997,2.595,1.0172419888546334e-12
350.137,0.11499999999999999,5.311,-32.90700000000002,4.101,1.2976286151374545e-12
368.141,0.134,6.990000000000001,-115.21799999999998,2.774,1.4644581819840898e-12
368.141,0.13799999999999998,7.132000000000001,-110.41100000000002,2.779,2.7157911868736974e-12
368.141,0.11599999999999999,5.29,-39.748000000000005,3.868,1.9101477259039188e-12
10.572999999999999,0.02,0.791,-3.947999999999983,3.1,6.441167830379963e-13
10.572999999999999,0.02,0.806,-2.017000000000018,2.9,6.441167830379963e-13
458.436,0.273,7.721,-102.42400000000002,1.7169999999999999,6.107003839312202e-11
458.436,0.25,6.870000000000001,-76.478,1.353,3.6643635312464756e-11
458.436,0.265,7.559999999999999,-95.05000000000003,1.573,5.144571741412311e-11
607.796,0.25,7.353,-152.126,1.34,3.239710624915758e-11
607.796,0.281,8.363,-258.282,1.372,8.940048410154498e-11
607.796,0.297,9.123,-362.849,1.6750000000000003,7.841317640908993e-11
303.129,0.075,4.747,-130.705,2.621,7.734458593519953e-13
303.129,0.079,5.065,-156.334,3.238,2.782153168660768e-13
288.192,0.075,4.747,-130.705,3.0175,2.071342722653095e-13
288.192,0.079,5.065,-156.334,3.7225000000000006,2.645184303779585e-13
207.81,0.062,4.227,-132.907,3.414,2.445281627399599e-13
207.81,0.066,4.532,-162.17800000000003,4.207,3.005321257782578e-13
397.271,0.15100000000000002,7.652,-124.943,3.3132999999999995,1.167623417089877e-12
397.271,0.15100000000000002,7.653,-132.984,3.39,1.0306634905797858e-12
397.271,0.148,7.51,-121.66500000000003,3.8,1.0903813928807788e-12
307.044,0.136,10.267,-202.05599999999998,3.087,4.2342379337519726e-13
307.044,0.137,10.3,-202.98900000000003,2.795,5.510113924128486e-13
307.044,0.124,9.292,-160.839,3.585,7.634657840774211e-13
307.044,0.136,10.267,-202.05599999999998,3.087,4.2342379337519726e-13
307.044,0.137,10.3,-202.98900000000003,2.795,5.510113924128486e-13
307.044,0.124,9.292,-160.839,3.585,7.634657840774211e-13
286.157,0.09799999999999999,8.08,-132.73000000000002,3.34,3.2183564285557505e-13
286.157,0.108,8.765,-160.656,3.6089999999999995,3.4389148819113955e-13
286.157,0.10299999999999998,8.463,-161.984,4.349,5.207839100721161e-13
116.198,0.10399999999999998,6.047,-71.46700000000001,4.007,6.991229044155168e-13
116.198,0.09799999999999999,5.923000000000001,-70.632,2.818,2.989978589877687e-13
116.198,0.09600000000000002,5.808,-68.41299999999998,3.6460000000000004,2.7694827972678397e-13
95.679,0.092,5.414,-53.37000000000001,4.22,5.153351896323791e-13
95.679,0.093,5.443,-53.16800000000002,4.226,5.153351896323791e-13
95.679,0.092,5.425,-53.456000000000024,4.22,5.153351896323791e-13
68.701,0.077,4.215,-43.859999999999985,4.278,4.850937622041014e-13
68.701,0.076,4.24,-44.72500000000001,4.034,2.619518278004514e-13
68.701,0.073,4.035,-39.27799999999999,4.459,4.917135628371154e-13
17.118,0.026,1.209,-13.63099999999999,2.821,6.927293582205156e-13
28.32,0.041,2.34,-18.73999999999999,3.604,7.712093621838453e-13
28.32,0.042,2.4339999999999997,-27.46299999999998,3.6,2.3588512648687127e-13
28.32,0.043000000000000003,2.511,-28.011000000000017,3.6,1.9514195771722725e-13
518.541,0.237048,6.7572,-127.0,1.328,3.3198680201848315e-11
518.541,0.21896,6.7572,-167.0,2.408,9.565437332955837e-12
518.541,0.237286,7.3203000000000005,-220.0,2.428,1.1189345357741137e-11
553.612,0.29481599999999997,6.118199999999999,-127.0,1.59,5.347338572907398e-11
553.612,0.27232,6.118199999999999,-199.99999999999997,1.9,7.510694580073093e-11
553.612,0.29511199999999993,6.62805,-249.99999999999997,1.87,7.841317640908993e-11
